matter_id,matter_name,practice_area,case_type,lead_attorney_id,start_date,end_date,case_outcome,budgeted_cost,settlement_award_amount,client_name
1,"Patent Infringement - Mcclure, Ward and Lee",Employment,Wrongful Termination,10,2024-06-27,2024-12-31,Won,342333.38,1396577.99,Williams and Sons
2,Wrongful Termination - Wyatt Inc,IP,Breach of Contract,6,2024-04-26,2024-12-31,Won,193582.6,1329959.13,Ramirez-Reid
3,Trademark - Kelly-Santiago,Corporate,Shareholder Dispute,8,2023-02-04,2024-12-31,Settled,853376.75,1472959.62,"Zuniga, Wong and Lynch"
4,"Contract Dispute - Sanchez, Ford and Nelson",Litigation,Lease Negotiation,6,2022-07-07,,Pending,1021547.8,,"Watts, Robinson and Nguyen"
5,Wrongful Termination - Perez Inc,Litigation,Wrongful Termination,2,2024-04-21,2024-12-31,Settled,340366.44,1782800.79,Morales-Jones
6,"Patent Infringement - Walter, Edwards and Rios",Real Estate,Regulatory,11,2024-09-26,2024-12-31,Lost,998764.54,,Wilkerson-Day
7,Product Liability - Wright PLC,Real Estate,Employment Dispute,8,2022-06-06,2022-12-20,Won,301683.4,3426225.11,"Baker, Richards and Hurst"
8,M&A - Osborn and Sons,Litigation,Breach of Contract,1,2023-03-14,2023-12-03,Settled,697022.37,4383074.46,"Snyder, Campos and Callahan"
9,Product Liability - Conner Group,Employment,Patent Infringement,11,2022-06-17,2023-02-19,Lost,426930.06,,"Brown, James and Ferrell"
10,"Regulatory - Valencia, Smith and Le",Real Estate,Trademark,4,2023-08-03,2024-01-22,Lost,551777.95,,"Dyer, Potter and Mack"
11,Patent Infringement - Graham-Chavez,Real Estate,Commercial Lease,7,2023-01-08,,Pending,558541.22,,"Liu, Baker and Mason"
12,Patent Infringement - Harrell LLC,Employment,Breach of Contract,1,2022-07-15,2024-09-25,Settled,1382209.36,327003.25,"Romero, Gonzalez and Brooks"
13,"Contract Dispute - Sellers, George and Burns",Corporate,Product Liability,8,2022-06-26,2024-03-27,Dismissed,741403.72,,Hickman LLC
14,Lease Negotiation - Humphrey Inc,Employment,Patent Infringement,5,2022-09-20,,Pending,1268939.25,,Dennis Inc
15,"Shareholder Dispute - Cannon, Anderson and Alvarez",Litigation,Shareholder Dispute,12,2024-12-06,2024-12-31,Dismissed,478873.54,,"Martin, Rose and Obrien"
16,"Employment Dispute - Campos, Vaughn and Marquez",Litigation,Wrongful Termination,5,2024-11-21,2024-12-31,Settled,1197815.37,3814928.89,Carney-Santos
17,"Commercial Lease - Hayes, Wright and Brown",Corporate,M&A,9,2023-04-25,,Pending,1236494.9,,Chapman and Sons
18,Breach of Contract - Jones Ltd,Corporate,M&A,5,2023-10-07,2024-12-31,Lost,434671.82,,Perez Inc
19,Patent Infringement - Palmer LLC,Litigation,Product Liability,2,2024-07-30,2024-12-31,Dismissed,1648578.78,,"Washington, Ryan and Cummings"
20,"Trademark - Kennedy, Mueller and Aguirre",Litigation,Shareholder Dispute,3,2024-08-24,2024-12-31,Dismissed,366747.96,,Davis Ltd
21,Wrongful Termination - Jenkins-Shields,Employment,Shareholder Dispute,5,2023-04-18,2024-12-31,Won,633409.6,2262915.85,Nunez Ltd
22,Employment Dispute - Chandler-Mcbride,Real Estate,Employment Dispute,2,2022-04-18,2023-01-03,Won,300790.97,45882.29,Wright and Sons
23,M&A - Henderson LLC,Real Estate,Employment Dispute,2,2023-08-11,2024-05-01,Settled,781779.46,1399601.55,Wright-Leblanc
24,"Breach of Contract - Garcia, Pearson and Fernandez",Real Estate,Commercial Lease,9,2023-05-01,2024-01-05,Dismissed,125883.13,,Novak and Sons
25,M&A - Olson-Hancock,Employment,Wrongful Termination,8,2022-07-02,2024-10-12,Won,1331498.32,2123657.33,Martin Inc
26,M&A - House-Glover,Corporate,Trademark,1,2024-12-14,2024-12-31,Dismissed,1062688.73,,Henderson-Bernard
27,"Commercial Lease - Stanley, Tucker and Lee",Litigation,Trademark,2,2024-12-25,2024-12-31,Lost,438508.79,,Novak PLC
28,Commercial Lease - Adkins Inc,Real Estate,M&A,8,2024-03-16,2024-12-31,Won,246672.63,262435.76,Silva PLC
29,"Employment Dispute - Moore, Yu and Miller",Litigation,Trademark,1,2024-10-03,,Pending,603021.66,,Jones Inc
